code,rose(3y),rank(3y),rank_r(3y),name,rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),类型
004263,83.63,253.0,0.0506,华安沪港深机会灵活配置混合C,83.63,253.0,0.0506,83.63,253,0.0506,83.63,253,0.0506,83.63,253,0.0506,混合型
004320,79.63,316.0,0.0632,前海开源沪港深乐享生活C,79.63,316.0,0.0632,79.63,316,0.0632,79.63,316,0.0632,79.63,316,0.0632,未知
004347,57.39,1229.0,0.2458,南方中证500信息技术联接CC,57.39,1229.0,0.2458,57.39,1229,0.2458,57.39,1229,0.2458,57.39,1229,0.2458,未知
004390,73.56,458.0,0.0916,平安转型创新混合AC,73.56,458.0,0.0916,73.56,458,0.0916,73.56,458,0.0916,73.56,458,0.0916,混合型
004391,72.18,496.0,0.0992,平安转型创新混合CC,72.18,496.0,0.0992,72.18,496,0.0992,72.18,496,0.0992,72.18,496,0.0992,混合型
004432,70.86,543.0,0.1086,南方中证申万有色金属ETF发起联接AC,70.86,543.0,0.1086,70.86,543,0.1086,70.86,543,0.1086,70.86,543,0.1086,未知
004433,70.18,565.0,0.113,南方中证申万有色金属ETF发起联接CC,70.18,565.0,0.113,70.18,565,0.113,70.18,565,0.113,70.18,565,0.113,未知
004448,73.85,449.0,0.0898,博时汇智回报灵活配置混合C,73.85,449.0,0.0898,73.85,449,0.0898,73.85,449,0.0898,73.85,449,0.0898,混合型
004450,60.38,1029.0,0.2058,嘉实前沿科技沪港深股票AC,60.38,1029.0,0.2058,60.38,1029,0.2058,60.38,1029,0.2058,60.38,1029,0.2058,股票型
004695,57.59,1211.0,0.2422,东兴未来价值混合AC,57.59,1211.0,0.2422,57.59,1211,0.2422,57.59,1211,0.2422,57.59,1211,0.2422,混合型
004745,61.43,963.0,0.1926,长盛创新驱动混合AC,61.43,963.0,0.1926,61.43,963,0.1926,61.43,963,0.1926,61.43,963,0.1926,混合型
004784,61.94,928.0,0.1856,招商稳健优选股票AC,61.94,928.0,0.1856,61.94,928,0.1856,61.94,928,0.1856,61.94,928,0.1856,股票型
004818,59.99,1046.0,0.2092,国寿安保目标策略混合发起AC,59.99,1046.0,0.2092,59.99,1046,0.2092,59.99,1046,0.2092,59.99,1046,0.2092,混合型
004819,59.83,1053.0,0.2106,国寿安保目标策略混合发起CC,59.83,1053.0,0.2106,59.83,1053,0.2106,59.83,1053,0.2106,59.83,1053,0.2106,混合型
004890,100.42,77.0,0.0154,中邮健康文娱灵活配置混合AC,100.42,77.0,0.0154,100.42,77,0.0154,100.42,77,0.0154,100.42,77,0.0154,混合型
005001,59.58,1066.0,0.2132,交银持续成长主题混合AC,59.58,1066.0,0.2132,59.58,1066,0.2132,59.58,1066,0.2132,59.58,1066,0.2132,混合型
005117,66.45,696.0,0.1392,金信价值精选混合AC,66.45,696.0,0.1392,66.45,696,0.1392,66.45,696,0.1392,66.45,696,0.1392,混合型
005118,66.28,703.0,0.1406,金信价值精选混合CC,66.28,703.0,0.1406,66.28,703,0.1406,66.28,703,0.1406,66.28,703,0.1406,混合型
005142,64.03,811.0,0.1622,国联沪港深大消费主题AC,64.03,811.0,0.1622,64.03,811,0.1622,64.03,811,0.1622,64.03,811,0.1622,未知
005143,63.74,821.0,0.1642,国联沪港深大消费主题CC,63.74,821.0,0.1642,63.74,821,0.1642,63.74,821,0.1642,63.74,821,0.1642,未知
